event_id,session_id,event_stage,stage_order
98,SES00062,Browse,1
99,SES00062,Checkout,3
100,SES00062,Purchase,4
101,SES00063,Browse,1
102,SES00064,Browse,1
103,SES00065,Browse,1
104,SES00066,Browse,1
105,SES00067,Browse,1
106,SES00067,Checkout,3
107,SES00068,Browse,1
108,SES00069,Browse,1
109,SES00069,Checkout,3
110,SES00070,Browse,1
111,SES00071,Browse,1
112,SES00072,Browse,1
113,SES00072,Checkout,3
114,SES00072,Purchase,4
115,SES00073,Browse,1
116,SES00074,Browse,1
117,SES00074,Checkout,3
118,SES00075,Browse,1
119,SES00076,Browse,1
120,SES00076,Checkout,3
121,SES00077,Browse,1
122,SES00078,Browse,1
123,SES00079,Browse,1
124,SES00080,Browse,1
125,SES00081,Browse,1
126,SES00081,Checkout,3
127,SES00082,Browse,1
128,SES00083,Browse,1
129,SES00083,Checkout,3
130,SES00084,Browse,1
131,SES00084,Checkout,3
132,SES00085,Browse,1
133,SES00085,Checkout,3
134,SES00086,Browse,1
135,SES00087,Browse,1
136,SES00087,Checkout,3
137,SES00088,Browse,1
138,SES00089,Browse,1
139,SES00090,Browse,1
140,SES00090,Checkout,3
141,SES00091,Browse,1
142,SES00092,Browse,1
143,SES00093,Browse,1
144,SES00094,Browse,1
145,SES00095,Browse,1
146,SES00095,Checkout,3
147,SES00096,Browse,1
148,SES00097,Browse,1
149,SES00098,Browse,1
150,SES00099,Browse,1
151,SES00100,Browse,1
152,SES00101,Browse,1
153,SES00101,Checkout,3
154,SES00102,Browse,1
155,SES00103,Browse,1
156,SES00104,Browse,1
157,SES00105,Browse,1
158,SES00106,Browse,1
159,SES00107,Browse,1
160,SES00107,Checkout,3
161,SES00107,Purchase,4
162,SES00108,Browse,1
163,SES00109,Browse,1
164,SES00110,Browse,1
165,SES00111,Browse,1
166,SES00112,Browse,1
167,SES00112,Checkout,3
168,SES00113,Browse,1
169,SES00114,Browse,1
170,SES00114,Checkout,3
171,SES00115,Browse,1
172,SES00116,Browse,1
173,SES00117,Browse,1
174,SES00118,Browse,1
175,SES00119,Browse,1
176,SES00120,Browse,1
177,SES00121,Browse,1
178,SES00122,Browse,1
179,SES00122,Checkout,3
180,SES00123,Browse,1
181,SES00123,Checkout,3
182,SES00124,Browse,1
183,SES00125,Browse,1
184,SES00126,Browse,1
185,SES00127,Browse,1
186,SES00127,Checkout,3
187,SES00127,Purchase,4
188,SES00128,Browse,1
189,SES00128,Checkout,3
190,SES00128,Purchase,4
191,SES00129,Browse,1
192,SES00129,Checkout,3
193,SES00129,Purchase,4
194,SES00130,Browse,1
195,SES00130,Checkout,3
196,SES00131,Browse,1
197,SES00132,Browse,1
198,SES00132,Checkout,3
199,SES00133,Browse,1
200,SES00133,Checkout,3
201,SES00134,Browse,1
202,SES00135,Browse,1
203,SES00135,Checkout,3
204,SES00136,Browse,1
205,SES00136,Checkout,3
206,SES00136,Purchase,4
207,SES00137,Browse,1
208,SES00138,Browse,1
209,SES00138,Checkout,3
210,SES00139,Browse,1
211,SES00139,Checkout,3
212,SES00140,Browse,1
213,SES00141,Browse,1
214,SES00142,Browse,1
215,SES00142,Checkout,3
216,SES00143,Browse,1
217,SES00144,Browse,1
218,SES00145,Browse,1
219,SES00145,Checkout,3
220,SES00146,Browse,1
221,SES00147,Browse,1
222,SES00148,Browse,1
223,SES00148,Checkout,3
224,SES00149,Browse,1
225,SES00149,Checkout,3
226,SES00150,Browse,1
227,SES00150,Checkout,3
228,SES00151,Browse,1
229,SES00151,Checkout,3
230,SES00152,Browse,1
231,SES00152,Checkout,3
232,SES00153,Browse,1
233,SES00154,Browse,1
234,SES00154,Checkout,3
235,SES00154,Purchase,4
236,SES00155,Browse,1
237,SES00155,Checkout,3
238,SES00156,Browse,1
239,SES00156,Checkout,3
240,SES00157,Browse,1
241,SES00158,Browse,1
242,SES00159,Browse,1
243,SES00159,Checkout,3
244,SES00160,Browse,1
245,SES00161,Browse,1
246,SES00161,Checkout,3
247,SES00162,Browse,1
248,SES00163,Browse,1
249,SES00164,Browse,1
250,SES00164,Checkout,3
251,SES00165,Browse,1
252,SES00165,Checkout,3
253,SES00166,Browse,1
254,SES00167,Browse,1
255,SES00168,Browse,1
256,SES00169,Browse,1
257,SES00170,Browse,1
258,SES00171,Browse,1
259,SES00172,Browse,1
260,SES00173,Browse,1
261,SES00173,Checkout,3
262,SES00173,Purchase,4
263,SES00174,Browse,1
264,SES00174,Checkout,3
265,SES00175,Browse,1
266,SES00176,Browse,1
267,SES00177,Browse,1
268,SES00178,Browse,1
269,SES00179,Browse,1
270,SES00180,Browse,1
271,SES00180,Checkout,3
272,SES00181,Browse,1
273,SES00182,Browse,1
274,SES00182,Checkout,3
275,SES00183,Browse,1
276,SES00184,Browse,1
277,SES00184,Checkout,3
278,SES00185,Browse,1
279,SES00186,Browse,1
280,SES00187,Browse,1
281,SES00188,Browse,1
282,SES00189,Browse,1
283,SES00190,Browse,1
284,SES00191,Browse,1
285,SES00191,Checkout,3
286,SES00191,Purchase,4
287,SES00192,Browse,1
288,SES00193,Browse,1
289,SES00194,Browse,1
290,SES00195,Browse,1
291,SES00196,Browse,1
292,SES00197,Browse,1
293,SES00197,Checkout,3
294,SES00197,Purchase,4
295,SES00198,Browse,1
296,SES00199,Browse,1
297,SES00200,Browse,1
298,SES00201,Browse,1
299,SES00201,Checkout,3
300,SES00201,Purchase,4
301,SES00202,Browse,1
302,SES00203,Browse,1
303,SES00204,Browse,1
304,SES00204,Checkout,3
305,SES00205,Browse,1
306,SES00205,Checkout,3
307,SES00206,Browse,1
308,SES00207,Browse,1
309,SES00208,Browse,1
310,SES00209,Browse,1
311,SES00209,Checkout,3
312,SES00209,Purchase,4
313,SES00210,Browse,1
314,SES00211,Browse,1
315,SES00211,Checkout,3
316,SES00211,Purchase,4
317,SES00212,Browse,1
318,SES00213,Browse,1
319,SES00214,Browse,1
320,SES00215,Browse,1
321,SES00215,Checkout,3
322,SES00215,Purchase,4
323,SES00216,Browse,1
324,SES00217,Browse,1
325,SES00218,Browse,1
326,SES00218,Checkout,3
327,SES00218,Purchase,4
328,SES00219,Browse,1
329,SES00219,Checkout,3
330,SES00219,Purchase,4
331,SES00220,Browse,1
332,SES00221,Browse,1
333,SES00221,Checkout,3
334,SES00222,Browse,1
335,SES00223,Browse,1
336,SES00224,Browse,1
337,SES00224,Checkout,3
338,SES00225,Browse,1
339,SES00226,Browse,1
340,SES00227,Browse,1
341,SES00228,Browse,1
342,SES00229,Browse,1
343,SES00230,Browse,1
344,SES00230,Checkout,3
345,SES00231,Browse,1
346,SES00231,Checkout,3
347,SES00232,Browse,1
348,SES00233,Browse,1
349,SES00234,Browse,1
350,SES00234,Checkout,3
351,SES00235,Browse,1
352,SES00236,Browse,1
353,SES00236,Checkout,3
354,SES00236,Purchase,4
355,SES00237,Browse,1
356,SES00237,Checkout,3
357,SES00237,Purchase,4
358,SES00238,Browse,1
359,SES00238,Checkout,3
360,SES00239,Browse,1
361,SES00239,Checkout,3
362,SES00240,Browse,1
363,SES00241,Browse,1
364,SES00242,Browse,1
365,SES00243,Browse,1
366,SES00244,Browse,1
367,SES00245,Browse,1
368,SES00245,Checkout,3
369,SES00246,Browse,1
370,SES00247,Browse,1
371,SES00248,Browse,1
372,SES00249,Browse,1
373,SES00249,Checkout,3
374,SES00250,Browse,1
375,SES00250,Checkout,3
376,SES00251,Browse,1
377,SES00252,Browse,1
378,SES00253,Browse,1
379,SES00253,Checkout,3
380,SES00254,Browse,1
381,SES00255,Browse,1
382,SES00255,Checkout,3
383,SES00256,Browse,1
384,SES00257,Browse,1
385,SES00258,Browse,1
386,SES00258,Checkout,3
387,SES00259,Browse,1
388,SES00260,Browse,1
389,SES00261,Browse,1
390,SES00261,Checkout,3
391,SES00261,Purchase,4
392,SES00262,Browse,1
393,SES00263,Browse,1
394,SES00263,Checkout,3
395,SES00263,Purchase,4
396,SES00264,Browse,1
397,SES00265,Browse,1
398,SES00266,Browse,1
399,SES00266,Checkout,3
400,SES00267,Browse,1
401,SES00267,Checkout,3
402,SES00267,Purchase,4
403,SES00268,Browse,1
404,SES00269,Browse,1
405,SES00270,Browse,1
406,SES00270,Checkout,3
407,SES00271,Browse,1
408,SES00272,Browse,1
409,SES00272,Checkout,3
410,SES00273,Browse,1
411,SES00274,Browse,1
412,SES00275,Browse,1
413,SES00276,Browse,1
414,SES00276,Checkout,3
415,SES00277,Browse,1
416,SES00278,Browse,1
417,SES00278,Checkout,3
418,SES00279,Browse,1
419,SES00279,Checkout,3
420,SES00280,Browse,1
421,SES00281,Browse,1
422,SES00281,Checkout,3
423,SES00282,Browse,1
424,SES00282,Checkout,3
425,SES00283,Browse,1
426,SES00284,Browse,1
427,SES00285,Browse,1
428,SES00286,Browse,1
429,SES00287,Browse,1
430,SES00287,Checkout,3
431,SES00288,Browse,1
432,SES00289,Browse,1
433,SES00289,Checkout,3
434,SES00290,Browse,1
435,SES00290,Checkout,3
436,SES00291,Browse,1
437,SES00291,Checkout,3
438,SES00292,Browse,1
439,SES00293,Browse,1
440,SES00294,Browse,1
441,SES00294,Checkout,3
442,SES00294,Purchase,4
443,SES00295,Browse,1
444,SES00295,Checkout,3
445,SES00296,Browse,1
446,SES00297,Browse,1
447,SES00297,Checkout,3
448,SES00298,Browse,1
449,SES00299,Browse,1
450,SES00299,Checkout,3
451,SES00299,Purchase,4
452,SES00300,Browse,1
453,SES00301,Browse,1
454,SES00302,Browse,1
455,SES00302,Checkout,3
456,SES00303,Browse,1
457,SES00303,Checkout,3
458,SES00304,Browse,1
459,SES00305,Browse,1
460,SES00305,Checkout,3
461,SES00306,Browse,1
462,SES00307,Browse,1
463,SES00308,Browse,1
464,SES00309,Browse,1
465,SES00310,Browse,1
466,SES00311,Browse,1
467,SES00312,Browse,1
468,SES00313,Browse,1
469,SES00313,Checkout,3
470,SES00314,Browse,1
471,SES00314,Checkout,3
472,SES00314,Purchase,4
473,SES00315,Browse,1
474,SES00316,Browse,1
475,SES00316,Checkout,3
476,SES00317,Browse,1
477,SES00318,Browse,1
478,SES00319,Browse,1
479,SES00320,Browse,1
480,SES00321,Browse,1
481,SES00322,Browse,1
482,SES00322,Checkout,3
483,SES00323,Browse,1
484,SES00324,Browse,1
485,SES00325,Browse,1
486,SES00325,Checkout,3
487,SES00326,Browse,1
488,SES00327,Browse,1
489,SES00328,Browse,1
490,SES00329,Browse,1
491,SES00329,Checkout,3
492,SES00330,Browse,1
493,SES00330,Checkout,3
494,SES00330,Purchase,4
495,SES00331,Browse,1
496,SES00332,Browse,1
497,SES00332,Checkout,3
498,SES00332,Purchase,4
499,SES00333,Browse,1
500,SES00333,Checkout,3
501,SES00333,Purchase,4
502,SES00334,Browse,1
503,SES00335,Browse,1
504,SES00335,Checkout,3
505,SES00336,Browse,1
506,SES00336,Checkout,3
507,SES00336,Purchase,4
508,SES00337,Browse,1
509,SES00338,Browse,1
510,SES00339,Browse,1
511,SES00340,Browse,1
512,SES00341,Browse,1
513,SES00341,Checkout,3
514,SES00342,Browse,1
515,SES00343,Browse,1
516,SES00343,Checkout,3
517,SES00344,Browse,1
518,SES00345,Browse,1
519,SES00346,Browse,1
520,SES00346,Checkout,3
521,SES00346,Purchase,4
522,SES00347,Browse,1
523,SES00348,Browse,1
524,SES00349,Browse,1
525,SES00350,Browse,1
526,SES00351,Browse,1
527,SES00352,Browse,1
528,SES00353,Browse,1
529,SES00354,Browse,1
530,SES00354,Checkout,3
531,SES00354,Purchase,4
532,SES00355,Browse,1
533,SES00356,Browse,1
534,SES00356,Checkout,3
535,SES00357,Browse,1
536,SES00358,Browse,1
537,SES00359,Browse,1
538,SES00360,Browse,1
539,SES00361,Browse,1
540,SES00361,Checkout,3
541,SES00362,Browse,1
542,SES00363,Browse,1
543,SES00364,Browse,1
544,SES00365,Browse,1
545,SES00365,Checkout,3
546,SES00365,Purchase,4
547,SES00366,Browse,1
548,SES00367,Browse,1
549,SES00367,Checkout,3
550,SES00368,Browse,1
551,SES00368,Checkout,3
552,SES00369,Browse,1
553,SES00370,Browse,1
554,SES00371,Browse,1
555,SES00372,Browse,1
556,SES00373,Browse,1
557,SES00374,Browse,1
558,SES00375,Browse,1
559,SES00376,Browse,1
560,SES00377,Browse,1
561,SES00378,Browse,1
562,SES00379,Browse,1
563,SES00380,Browse,1
564,SES00381,Browse,1
565,SES00382,Browse,1
566,SES00382,Checkout,3
567,SES00383,Browse,1
568,SES00384,Browse,1
569,SES00384,Checkout,3
570,SES00384,Purchase,4
571,SES00385,Browse,1
572,SES00385,Checkout,3
573,SES00385,Purchase,4
574,SES00386,Browse,1
575,SES00387,Browse,1
576,SES00388,Browse,1
577,SES00388,Checkout,3
578,SES00389,Browse,1
579,SES00390,Browse,1
580,SES00391,Browse,1
581,SES00392,Browse,1
582,SES00393,Browse,1
583,SES00394,Browse,1
584,SES00395,Browse,1
585,SES00395,Checkout,3
586,SES00396,Browse,1
587,SES00397,Browse,1
588,SES00397,Checkout,3
589,SES00398,Browse,1
590,SES00399,Browse,1
591,SES00399,Checkout,3
592,SES00400,Browse,1
593,SES00400,Checkout,3
594,SES00401,Browse,1
595,SES00402,Browse,1
596,SES00402,Checkout,3
597,SES00402,Purchase,4
598,SES00403,Browse,1
599,SES00404,Browse,1
600,SES00405,Browse,1
601,SES00406,Browse,1
602,SES00407,Browse,1
603,SES00408,Browse,1
604,SES00409,Browse,1
605,SES00409,Checkout,3
606,SES00410,Browse,1
607,SES00411,Browse,1
608,SES00412,Browse,1
609,SES00413,Browse,1
610,SES00413,Checkout,3
611,SES00413,Purchase,4
612,SES00414,Browse,1
613,SES00415,Browse,1
614,SES00416,Browse,1
615,SES00417,Browse,1
616,SES00418,Browse,1
617,SES00419,Browse,1
618,SES00420,Browse,1
619,SES00420,Checkout,3
620,SES00421,Browse,1
621,SES00422,Browse,1
622,SES00423,Browse,1
623,SES00424,Browse,1
624,SES00424,Checkout,3
625,SES00425,Browse,1
626,SES00426,Browse,1
627,SES00427,Browse,1
628,SES00427,Checkout,3
629,SES00428,Browse,1
630,SES00429,Browse,1
631,SES00430,Browse,1
632,SES00431,Browse,1
633,SES00432,Browse,1
634,SES00432,Checkout,3
635,SES00433,Browse,1
636,SES00433,Checkout,3
637,SES00433,Purchase,4
638,SES00434,Browse,1
639,SES00435,Browse,1
640,SES00436,Browse,1
641,SES00437,Browse,1
642,SES00437,Checkout,3
643,SES00437,Purchase,4
644,SES00438,Browse,1
645,SES00439,Browse,1
646,SES00439,Checkout,3
647,SES00439,Purchase,4
648,SES00440,Browse,1
649,SES00440,Checkout,3
650,SES00441,Browse,1
651,SES00442,Browse,1
652,SES00443,Browse,1
653,SES00444,Browse,1
654,SES00445,Browse,1
655,SES00445,Checkout,3
656,SES00446,Browse,1
657,SES00447,Browse,1
658,SES00448,Browse,1
659,SES00448,Checkout,3
660,SES00449,Browse,1
661,SES00449,Checkout,3
662,SES00450,Browse,1
663,SES00450,Checkout,3
664,SES00451,Browse,1
665,SES00452,Browse,1
666,SES00453,Browse,1
667,SES00454,Browse,1
668,SES00454,Checkout,3
669,SES00455,Browse,1
670,SES00455,Checkout,3
671,SES00456,Browse,1
672,SES00456,Checkout,3
673,SES00456,Purchase,4
674,SES00457,Browse,1
675,SES00457,Checkout,3
676,SES00458,Browse,1
677,SES00459,Browse,1
678,SES00460,Browse,1
679,SES00461,Browse,1
680,SES00462,Browse,1
681,SES00462,Checkout,3
682,SES00463,Browse,1
683,SES00463,Checkout,3
684,SES00464,Browse,1
685,SES00465,Browse,1
686,SES00466,Browse,1
687,SES00467,Browse,1
688,SES00468,Browse,1
689,SES00469,Browse,1
690,SES00469,Checkout,3
691,SES00470,Browse,1
692,SES00471,Browse,1
693,SES00471,Checkout,3
694,SES00471,Purchase,4
695,SES00472,Browse,1
696,SES00473,Browse,1
697,SES00474,Browse,1
698,SES00475,Browse,1
699,SES00476,Browse,1
700,SES00476,Checkout,3
701,SES00477,Browse,1
702,SES00478,Browse,1
703,SES00478,Checkout,3
704,SES00479,Browse,1
705,SES00479,Checkout,3
706,SES00480,Browse,1
707,SES00481,Browse,1
708,SES00482,Browse,1
709,SES00483,Browse,1
710,SES00484,Browse,1
711,SES00484,Checkout,3
712,SES00485,Browse,1
713,SES00486,Browse,1
714,SES00487,Browse,1
715,SES00488,Browse,1
716,SES00489,Browse,1
717,SES00489,Checkout,3
718,SES00490,Browse,1
719,SES00490,Checkout,3
720,SES00491,Browse,1
721,SES00492,Browse,1
722,SES00493,Browse,1
723,SES00493,Checkout,3
724,SES00494,Browse,1
725,SES00494,Checkout,3
726,SES00495,Browse,1
727,SES00495,Checkout,3
728,SES00495,Purchase,4
729,SES00496,Browse,1
730,SES00497,Browse,1
731,SES00498,Browse,1
732,SES00498,Checkout,3
733,SES00498,Purchase,4
734,SES00499,Browse,1
735,SES00499,Checkout,3
736,SES00500,Browse,1
737,SES00500,Checkout,3
738,SES00501,Browse,1
739,SES00502,Browse,1
740,SES00503,Browse,1
741,SES00504,Browse,1
742,SES00505,Browse,1
743,SES00505,Checkout,3
744,SES00506,Browse,1
745,SES00506,Checkout,3
746,SES00507,Browse,1
747,SES00507,Checkout,3
748,SES00508,Browse,1
749,SES00509,Browse,1
750,SES00509,Checkout,3
751,SES00509,Purchase,4
752,SES00510,Browse,1
753,SES00510,Checkout,3
754,SES00511,Browse,1
755,SES00511,Checkout,3
756,SES00511,Purchase,4
757,SES00512,Browse,1
758,SES00513,Browse,1
759,SES00514,Browse,1
760,SES00515,Browse,1
761,SES00516,Browse,1
762,SES00517,Browse,1
763,SES00518,Browse,1
764,SES00518,Checkout,3
765,SES00518,Purchase,4
766,SES00519,Browse,1
767,SES00520,Browse,1
768,SES00521,Browse,1
769,SES00522,Browse,1
770,SES00522,Checkout,3
771,SES00522,Purchase,4
772,SES00523,Browse,1
773,SES00524,Browse,1
774,SES00525,Browse,1
775,SES00526,Browse,1
776,SES00526,Checkout,3
777,SES00527,Browse,1
778,SES00528,Browse,1
779,SES00529,Browse,1
780,SES00530,Browse,1
781,SES00531,Browse,1
782,SES00532,Browse,1
783,SES00532,Checkout,3
784,SES00532,Purchase,4
785,SES00533,Browse,1
786,SES00534,Browse,1
787,SES00534,Checkout,3
788,SES00534,Purchase,4
789,SES00535,Browse,1
790,SES00536,Browse,1
791,SES00537,Browse,1
792,SES00537,Checkout,3
793,SES00537,Purchase,4
794,SES00538,Browse,1
795,SES00539,Browse,1
796,SES00540,Browse,1
797,SES00540,Checkout,3
798,SES00540,Purchase,4
799,SES00541,Browse,1
800,SES00542,Browse,1
801,SES00542,Checkout,3
802,SES00543,Browse,1
803,SES00544,Browse,1
804,SES00545,Browse,1
805,SES00545,Checkout,3
806,SES00545,Purchase,4
807,SES00546,Browse,1
808,SES00547,Browse,1
809,SES00548,Browse,1
810,SES00548,Checkout,3
811,SES00548,Purchase,4
812,SES00549,Browse,1
813,SES00550,Browse,1
814,SES00551,Browse,1
815,SES00552,Browse,1
816,SES00552,Checkout,3
817,SES00553,Browse,1
818,SES00553,Checkout,3
819,SES00554,Browse,1
820,SES00554,Checkout,3
821,SES00555,Browse,1
822,SES00555,Checkout,3
823,SES00556,Browse,1
824,SES00557,Browse,1
825,SES00557,Checkout,3
826,SES00558,Browse,1
827,SES00559,Browse,1
828,SES00560,Browse,1
829,SES00561,Browse,1
830,SES00562,Browse,1
831,SES00563,Browse,1
832,SES00564,Browse,1
833,SES00565,Browse,1
834,SES00565,Checkout,3
835,SES00565,Purchase,4
836,SES00566,Browse,1
837,SES00567,Browse,1
838,SES00567,Checkout,3
839,SES00568,Browse,1
840,SES00569,Browse,1
841,SES00570,Browse,1
842,SES00571,Browse,1
843,SES00571,Checkout,3
844,SES00571,Purchase,4
845,SES00572,Browse,1
846,SES00573,Browse,1
847,SES00574,Browse,1
848,SES00574,Checkout,3
849,SES00575,Browse,1
850,SES00575,Checkout,3
851,SES00575,Purchase,4
852,SES00576,Browse,1
853,SES00576,Checkout,3
854,SES00577,Browse,1
855,SES00578,Browse,1
856,SES00578,Checkout,3
857,SES00578,Purchase,4
858,SES00579,Browse,1
859,SES00579,Checkout,3
860,SES00580,Browse,1
861,SES00580,Checkout,3
862,SES00581,Browse,1
863,SES00581,Checkout,3
864,SES00582,Browse,1
865,SES00583,Browse,1
866,SES00583,Checkout,3
867,SES00583,Purchase,4
868,SES00584,Browse,1
869,SES00585,Browse,1
870,SES00586,Browse,1
871,SES00587,Browse,1
872,SES00587,Checkout,3
873,SES00588,Browse,1
874,SES00589,Browse,1
875,SES00589,Checkout,3
876,SES00590,Browse,1
877,SES00591,Browse,1
878,SES00592,Browse,1
879,SES00593,Browse,1
880,SES00594,Browse,1
881,SES00594,Checkout,3
882,SES00595,Browse,1
883,SES00596,Browse,1
884,SES00597,Browse,1
885,SES00598,Browse,1
886,SES00599,Browse,1
887,SES00599,Checkout,3
888,SES00599,Purchase,4
889,SES00600,Browse,1
890,SES00601,Browse,1
891,SES00601,Checkout,3
892,SES00602,Browse,1
893,SES00602,Checkout,3
894,SES00603,Browse,1
895,SES00603,Checkout,3
896,SES00603,Purchase,4
897,SES00604,Browse,1
898,SES00605,Browse,1
899,SES00605,Checkout,3
900,SES00606,Browse,1
901,SES00606,Checkout,3
902,SES00607,Browse,1
903,SES00608,Browse,1
904,SES00608,Checkout,3
905,SES00609,Browse,1
906,SES00610,Browse,1
907,SES00610,Checkout,3
908,SES00611,Browse,1
909,SES00612,Browse,1
910,SES00613,Browse,1
911,SES00613,Checkout,3
912,SES00613,Purchase,4
913,SES00614,Browse,1
914,SES00615,Browse,1
915,SES00615,Checkout,3
916,SES00616,Browse,1
917,SES00617,Browse,1
918,SES00618,Browse,1
919,SES00618,Checkout,3
920,SES00618,Purchase,4
921,SES00619,Browse,1
922,SES00620,Browse,1
923,SES00620,Checkout,3
924,SES00621,Browse,1
925,SES00621,Checkout,3
926,SES00622,Browse,1
927,SES00623,Browse,1
928,SES00624,Browse,1
929,SES00624,Checkout,3
930,SES00625,Browse,1
931,SES00626,Browse,1
932,SES00627,Browse,1
933,SES00628,Browse,1
934,SES00629,Browse,1
935,SES00630,Browse,1
936,SES00631,Browse,1
937,SES00631,Checkout,3
938,SES00632,Browse,1
939,SES00633,Browse,1
940,SES00634,Browse,1
941,SES00635,Browse,1
942,SES00635,Checkout,3
943,SES00636,Browse,1
944,SES00637,Browse,1
945,SES00638,Browse,1
946,SES00639,Browse,1
947,SES00639,Checkout,3
948,SES00640,Browse,1
949,SES00641,Browse,1
950,SES00641,Checkout,3
951,SES00642,Browse,1
952,SES00643,Browse,1
953,SES00643,Checkout,3
954,SES00644,Browse,1
955,SES00645,Browse,1
956,SES00646,Browse,1
957,SES00647,Browse,1
958,SES00648,Browse,1
959,SES00649,Browse,1
960,SES00649,Checkout,3
961,SES00650,Browse,1
962,SES00650,Checkout,3
963,SES00650,Purchase,4
964,SES00651,Browse,1
965,SES00651,Checkout,3
966,SES00652,Browse,1
967,SES00653,Browse,1
968,SES00653,Checkout,3
969,SES00654,Browse,1
970,SES00655,Browse,1
971,SES00656,Browse,1
972,SES00657,Browse,1
973,SES00657,Checkout,3
974,SES00658,Browse,1
975,SES00659,Browse,1
976,SES00660,Browse,1
977,SES00661,Browse,1
978,SES00662,Browse,1
979,SES00663,Browse,1
980,SES00664,Browse,1
981,SES00665,Browse,1
982,SES00665,Checkout,3
983,SES00666,Browse,1
984,SES00666,Checkout,3
985,SES00667,Browse,1
986,SES00668,Browse,1
987,SES00669,Browse,1
988,SES00670,Browse,1
989,SES00671,Browse,1
990,SES00671,Checkout,3
991,SES00672,Browse,1
992,SES00672,Checkout,3
993,SES00673,Browse,1
994,SES00673,Checkout,3
995,SES00674,Browse,1
996,SES00675,Browse,1
997,SES00676,Browse,1
998,SES00677,Browse,1
999,SES00677,Checkout,3
1000,SES00677,Purchase,4
