session_id,user_id,session_start,session_end,session_duration_min,device,region,channel,product_category,revenue,bounce_flag,max_funnel_stage
SES00041,USR00041,"2025-10-22 17:52:09","2025-10-22 17:56:09",4,Desktop,North,Organic,Beauty,0.00,Yes,Checkout
SES00042,USR00042,"2025-10-02 02:00:46","2025-10-02 02:00:46",0,Tablet,North,"Social Media",Fashion,0.00,Yes,Browse
SES00043,USR00043,"2025-10-17 21:54:14","2025-10-17 21:57:14",3,Tablet,East,Email,Fashion,0.00,Yes,Browse
SES00044,USR00044,"2025-10-26 13:37:42","2025-10-26 13:42:42",5,Tablet,East,"Google Ads",Beauty,0.00,Yes,Browse
SES00045,USR00045,"2025-10-11 02:37:09","2025-10-11 02:37:09",0,Tablet,North,Email,Beauty,0.00,Yes,Browse
SES00046,USR00046,"2025-10-03 15:34:30","2025-10-03 15:38:30",4,Tablet,East,Email,Electronics,0.00,Yes,Browse
SES00047,USR00047,"2025-10-03 01:06:41","2025-10-03 01:06:41",0,Mobile,East,Organic,Electronics,0.00,Yes,Browse
SES00048,USR00048,"2025-10-16 18:22:12","2025-10-16 18:32:12",10,Tablet,South,Email,Electronics,0.00,Yes,Checkout
SES00049,USR00049,"2025-10-31 08:49:27","2025-10-31 08:51:27",2,Tablet,East,Email,Electronics,0.00,Yes,Browse
SES00050,USR00050,"2025-10-14 11:45:39","2025-10-14 11:54:39",9,Tablet,South,Organic,Home,0.00,Yes,Checkout
SES00051,USR00051,"2025-10-05 01:07:33","2025-10-05 01:07:33",0,Tablet,North,"Google Ads",Home,0.00,Yes,Browse
SES00052,USR00052,"2025-10-15 16:03:13","2025-10-15 16:03:13",0,Mobile,East,"Social Media",Home,0.00,Yes,Browse
SES00053,USR00053,"2025-10-16 06:56:30","2025-10-16 07:01:30",5,Mobile,East,"Google Ads",Electronics,0.00,Yes,Checkout
SES00054,USR00054,"2025-10-09 07:40:27","2025-10-09 07:45:27",5,Desktop,West,"Google Ads",Home,0.00,Yes,Browse
SES00055,USR00055,"2025-10-06 07:54:15","2025-10-06 07:59:15",5,Tablet,West,"Google Ads",Electronics,0.00,Yes,Browse
SES00056,USR00056,"2025-10-12 03:30:45","2025-10-12 03:30:45",0,Tablet,North,Email,Sports,0.00,Yes,Browse
SES00057,USR00057,"2025-10-11 13:12:04","2025-10-11 13:12:04",0,Tablet,South,"Social Media",Beauty,0.00,Yes,Browse
SES00058,USR00058,"2025-10-18 16:04:50","2025-10-18 16:11:50",7,Mobile,South,Organic,Beauty,0.00,Yes,Checkout
SES00059,USR00059,"2025-10-17 21:18:06","2025-10-17 21:18:06",0,Mobile,South,Email,Fashion,0.00,Yes,Browse
SES00060,USR00060,"2025-10-05 23:25:11","2025-10-05 23:35:11",10,Tablet,West,Organic,Sports,260.14,No,Purchase
SES00061,USR00061,"2025-10-02 19:18:58","2025-10-02 19:23:58",5,Tablet,West,"Social Media",Beauty,0.00,Yes,Browse
SES00062,USR00062,"2025-10-28 19:04:39","2025-10-28 19:17:39",13,Desktop,South,Email,Sports,1112.26,No,Purchase
SES00063,USR00063,"2025-10-04 06:45:35","2025-10-04 06:45:35",0,Mobile,West,"Google Ads",Electronics,0.00,Yes,Browse
SES00064,USR00064,"2025-10-03 20:40:36","2025-10-03 20:45:36",5,Tablet,West,Email,Sports,0.00,Yes,Browse
SES00065,USR00065,"2025-10-24 18:03:46","2025-10-24 18:03:46",0,Tablet,South,Email,Electronics,0.00,Yes,Browse
SES00066,USR00066,"2025-10-29 04:45:18","2025-10-29 04:50:18",5,Tablet,North,Email,Electronics,0.00,Yes,Browse
SES00067,USR00067,"2025-10-11 07:31:15","2025-10-11 07:37:15",6,Mobile,West,Email,Beauty,0.00,Yes,Checkout
SES00068,USR00068,"2025-10-14 17:49:27","2025-10-14 17:49:27",0,Tablet,South,"Social Media",Sports,0.00,Yes,Browse
SES00069,USR00069,"2025-10-05 01:15:08","2025-10-05 01:21:08",6,Mobile,West,Email,Electronics,0.00,Yes,Checkout
SES00070,USR00070,"2025-10-12 02:20:37","2025-10-12 02:20:37",0,Mobile,South,Organic,Electronics,0.00,Yes,Browse
SES00071,USR00071,"2025-10-16 17:53:10","2025-10-16 17:56:10",3,Tablet,South,"Social Media",Sports,0.00,Yes,Browse
SES00072,USR00072,"2025-10-12 22:47:11","2025-10-12 22:58:11",11,Tablet,North,Email,Fashion,388.54,No,Purchase
SES00073,USR00073,"2025-10-02 02:53:14","2025-10-02 02:53:14",0,Desktop,North,Organic,Home,0.00,Yes,Browse
SES00074,USR00074,"2025-10-31 09:48:16","2025-10-31 09:55:16",7,Desktop,South,Email,Home,0.00,Yes,Checkout
SES00075,USR00075,"2025-10-19 15:37:20","2025-10-19 15:42:20",5,Desktop,West,"Google Ads",Beauty,0.00,Yes,Browse
SES00076,USR00076,"2025-10-26 22:20:57","2025-10-26 22:26:57",6,Mobile,West,"Social Media",Home,0.00,Yes,Checkout
SES00077,USR00077,"2025-10-07 10:52:27","2025-10-07 10:56:27",4,Mobile,North,Organic,Fashion,0.00,Yes,Browse
SES00078,USR00078,"2025-10-20 03:35:12","2025-10-20 03:38:12",3,Mobile,North,"Social Media",Home,0.00,Yes,Browse
SES00079,USR00079,"2025-10-17 05:29:15","2025-10-17 05:29:15",0,Mobile,South,"Google Ads",Fashion,0.00,Yes,Browse
SES00080,USR00080,"2025-10-17 08:52:36","2025-10-17 08:54:36",2,Mobile,North,Organic,Sports,0.00,Yes,Browse
SES00081,USR00081,"2025-10-22 10:06:06","2025-10-22 10:13:06",7,Tablet,East,"Social Media",Fashion,0.00,Yes,Checkout
SES00082,USR00082,"2025-10-06 14:39:56","2025-10-06 14:41:56",2,Mobile,West,Organic,Fashion,0.00,Yes,Browse
SES00083,USR00083,"2025-10-16 23:48:29","2025-10-16 23:58:29",10,Mobile,East,"Social Media",Electronics,0.00,Yes,Checkout
SES00084,USR00084,"2025-10-09 08:54:58","2025-10-09 09:02:58",8,Desktop,North,"Social Media",Fashion,0.00,Yes,Checkout
SES00085,USR00085,"2025-10-12 15:26:38","2025-10-12 15:32:38",6,Tablet,South,Organic,Electronics,0.00,Yes,Checkout
SES00086,USR00086,"2025-10-29 09:16:35","2025-10-29 09:16:35",0,Mobile,West,Organic,Fashion,0.00,Yes,Browse
SES00087,USR00087,"2025-10-29 14:58:55","2025-10-29 15:04:55",6,Mobile,South,"Google Ads",Fashion,0.00,Yes,Checkout
SES00088,USR00088,"2025-10-30 05:12:02","2025-10-30 05:15:02",3,Desktop,East,Organic,Fashion,0.00,Yes,Browse
SES00089,USR00089,"2025-10-16 11:10:31","2025-10-16 11:13:31",3,Mobile,East,"Google Ads",Home,0.00,Yes,Browse
SES00090,USR00090,"2025-10-28 06:54:54","2025-10-28 07:01:54",7,Tablet,North,Email,Fashion,0.00,Yes,Checkout
SES00091,USR00091,"2025-10-12 15:30:36","2025-10-12 15:32:36",2,Desktop,East,Email,Home,0.00,Yes,Browse
SES00092,USR00092,"2025-10-15 02:28:29","2025-10-15 02:32:29",4,Desktop,South,"Google Ads",Home,0.00,Yes,Browse
SES00093,USR00093,"2025-10-11 16:37:03","2025-10-11 16:37:03",0,Tablet,South,"Social Media",Home,0.00,Yes,Browse
SES00094,USR00094,"2025-10-13 01:06:18","2025-10-13 01:10:18",4,Mobile,East,"Google Ads",Electronics,0.00,Yes,Browse
SES00095,USR00095,"2025-10-08 17:05:04","2025-10-08 17:11:04",6,Mobile,East,"Google Ads",Beauty,0.00,Yes,Checkout
SES00096,USR00096,"2025-10-20 16:29:51","2025-10-20 16:32:51",3,Tablet,South,Organic,Fashion,0.00,Yes,Browse
SES00097,USR00097,"2025-10-26 16:37:22","2025-10-26 16:39:22",2,Desktop,North,Email,Electronics,0.00,Yes,Browse
SES00098,USR00098,"2025-10-24 21:26:32","2025-10-24 21:26:32",0,Tablet,East,"Google Ads",Electronics,0.00,Yes,Browse
SES00099,USR00099,"2025-10-23 00:07:56","2025-10-23 00:07:56",0,Desktop,East,Email,Home,0.00,Yes,Browse
SES00100,USR00100,"2025-10-31 13:55:19","2025-10-31 13:58:19",3,Tablet,North,Organic,Home,0.00,Yes,Browse
SES00101,USR00101,"2025-10-16 04:11:54","2025-10-16 04:19:54",8,Mobile,North,Organic,Home,0.00,Yes,Checkout
SES00102,USR00102,"2025-10-07 15:29:38","2025-10-07 15:31:38",2,Desktop,North,Email,Fashion,0.00,Yes,Browse
SES00103,USR00103,"2025-10-20 12:40:01","2025-10-20 12:43:01",3,Desktop,East,Organic,Home,0.00,Yes,Browse
SES00104,USR00104,"2025-10-28 10:12:14","2025-10-28 10:12:14",0,Desktop,East,Email,Home,0.00,Yes,Browse
SES00105,USR00105,"2025-10-06 20:45:07","2025-10-06 20:45:07",0,Tablet,East,Organic,Beauty,0.00,Yes,Browse
SES00106,USR00106,"2025-10-03 08:03:01","2025-10-03 08:07:01",4,Desktop,North,"Google Ads",Sports,0.00,Yes,Browse
SES00107,USR00107,"2025-10-18 10:14:00","2025-10-18 10:24:00",10,Desktop,East,Organic,Home,203.44,No,Purchase
SES00108,USR00108,"2025-10-07 12:11:53","2025-10-07 12:11:53",0,Desktop,West,"Social Media",Beauty,0.00,Yes,Browse
SES00109,USR00109,"2025-10-26 15:45:30","2025-10-26 15:45:30",0,Mobile,East,Email,Beauty,0.00,Yes,Browse
SES00110,USR00110,"2025-10-03 10:42:16","2025-10-03 10:46:16",4,Mobile,North,Email,Fashion,0.00,Yes,Browse
SES00111,USR00111,"2025-10-22 20:27:38","2025-10-22 20:27:38",0,Tablet,South,Organic,Electronics,0.00,Yes,Browse
SES00112,USR00112,"2025-10-10 00:24:10","2025-10-10 00:30:10",6,Mobile,East,Email,Fashion,0.00,Yes,Checkout
SES00113,USR00113,"2025-10-30 06:54:52","2025-10-30 06:56:52",2,Desktop,South,Organic,Fashion,0.00,Yes,Browse
SES00114,USR00114,"2025-10-02 02:12:28","2025-10-02 02:18:28",6,Mobile,North,Email,Fashion,0.00,Yes,Checkout
SES00115,USR00115,"2025-10-09 17:56:46","2025-10-09 18:00:46",4,Tablet,South,"Social Media",Beauty,0.00,Yes,Browse
SES00116,USR00116,"2025-10-03 23:26:28","2025-10-03 23:29:28",3,Mobile,North,"Google Ads",Electronics,0.00,Yes,Browse
SES00117,USR00117,"2025-10-13 10:15:17","2025-10-13 10:15:17",0,Tablet,East,"Google Ads",Beauty,0.00,Yes,Browse
SES00118,USR00118,"2025-10-21 01:41:46","2025-10-21 01:46:46",5,Tablet,South,Email,Beauty,0.00,Yes,Browse
SES00119,USR00119,"2025-10-24 13:33:36","2025-10-24 13:33:36",0,Tablet,East,Email,Home,0.00,Yes,Browse
SES00120,USR00120,"2025-10-18 10:47:11","2025-10-18 10:47:11",0,Tablet,West,"Google Ads",Beauty,0.00,Yes,Browse
SES00121,USR00121,"2025-10-28 21:46:41","2025-10-28 21:48:41",2,Tablet,West,Organic,Beauty,0.00,Yes,Browse
SES00122,USR00122,"2025-10-05 04:21:17","2025-10-05 04:28:17",7,Mobile,North,Email,Fashion,0.00,Yes,Checkout
SES00123,USR00123,"2025-10-29 15:50:27","2025-10-29 15:58:27",8,Desktop,South,Organic,Sports,0.00,Yes,Checkout
SES00124,USR00124,"2025-10-24 12:15:18","2025-10-24 12:15:18",0,Mobile,South,Organic,Electronics,0.00,Yes,Browse
SES00125,USR00125,"2025-10-22 02:41:55","2025-10-22 02:46:55",5,Mobile,South,Email,Electronics,0.00,Yes,Browse
SES00126,USR00126,"2025-10-06 13:51:05","2025-10-06 13:55:05",4,Desktop,North,Email,Electronics,0.00,Yes,Browse
SES00127,USR00127,"2025-10-12 01:14:02","2025-10-12 01:24:02",10,Desktop,West,Email,Home,827.12,No,Purchase
SES00128,USR00128,"2025-10-25 00:41:41","2025-10-25 00:51:41",10,Tablet,North,Organic,Electronics,994.77,No,Purchase
SES00129,USR00129,"2025-10-07 23:09:34","2025-10-07 23:19:34",10,Desktop,West,Email,Fashion,1600.31,No,Purchase
SES00130,USR00130,"2025-10-26 10:09:24","2025-10-26 10:15:24",6,Tablet,North,Email,Home,0.00,Yes,Checkout
SES00131,USR00131,"2025-10-02 01:26:20","2025-10-02 01:31:20",5,Tablet,West,"Google Ads",Electronics,0.00,Yes,Browse
SES00132,USR00132,"2025-10-30 18:25:36","2025-10-30 18:35:36",10,Desktop,North,"Google Ads",Beauty,0.00,Yes,Checkout
SES00133,USR00133,"2025-10-06 13:38:21","2025-10-06 13:43:21",5,Tablet,East,Email,Electronics,0.00,Yes,Checkout
SES00134,USR00134,"2025-10-24 21:25:48","2025-10-24 21:30:48",5,Tablet,West,Email,Sports,0.00,Yes,Browse
SES00135,USR00135,"2025-10-17 02:55:36","2025-10-17 03:00:36",5,Mobile,South,"Google Ads",Sports,0.00,Yes,Checkout
SES00136,USR00136,"2025-10-03 07:28:32","2025-10-03 07:42:32",14,Tablet,South,Organic,Sports,1032.09,No,Purchase
SES00137,USR00137,"2025-10-26 21:49:49","2025-10-26 21:49:49",0,Tablet,North,"Google Ads",Home,0.00,Yes,Browse
SES00138,USR00138,"2025-10-02 20:52:54","2025-10-02 20:56:54",4,Desktop,North,"Google Ads",Home,0.00,Yes,Checkout
SES00139,USR00139,"2025-10-19 06:11:43","2025-10-19 06:19:43",8,Desktop,North,"Social Media",Beauty,0.00,Yes,Checkout
SES00140,USR00140,"2025-10-23 18:36:22","2025-10-23 18:36:22",0,Tablet,North,Organic,Sports,0.00,Yes,Browse
SES00141,USR00141,"2025-10-20 22:16:32","2025-10-20 22:19:32",3,Tablet,East,Organic,Sports,0.00,Yes,Browse
SES00142,USR00142,"2025-10-29 02:57:13","2025-10-29 03:07:13",10,Tablet,North,Organic,Beauty,0.00,Yes,Checkout
SES00143,USR00143,"2025-10-11 06:52:10","2025-10-11 06:52:10",0,Desktop,North,"Google Ads",Electronics,0.00,Yes,Browse
SES00144,USR00144,"2025-10-06 14:40:42","2025-10-06 14:40:42",0,Desktop,West,Organic,Home,0.00,Yes,Browse
SES00145,USR00145,"2025-10-12 16:40:54","2025-10-12 16:45:54",5,Desktop,East,Email,Beauty,0.00,Yes,Checkout
SES00146,USR00146,"2025-10-23 00:14:16","2025-10-23 00:16:16",2,Mobile,East,"Social Media",Electronics,0.00,Yes,Browse
SES00147,USR00147,"2025-10-07 09:38:04","2025-10-07 09:38:04",0,Mobile,East,Organic,Fashion,0.00,Yes,Browse
SES00148,USR00148,"2025-10-03 19:52:01","2025-10-03 20:01:01",9,Tablet,West,"Google Ads",Sports,0.00,Yes,Checkout
SES00149,USR00149,"2025-10-05 14:08:35","2025-10-05 14:15:35",7,Desktop,North,"Google Ads",Beauty,0.00,Yes,Checkout
SES00150,USR00150,"2025-10-03 05:11:45","2025-10-03 05:17:45",6,Tablet,North,"Social Media",Beauty,0.00,Yes,Checkout
SES00151,USR00151,"2025-10-31 10:48:56","2025-10-31 10:54:56",6,Tablet,East,"Google Ads",Home,0.00,Yes,Checkout
SES00152,USR00152,"2025-10-16 13:39:40","2025-10-16 13:45:40",6,Desktop,East,"Google Ads",Electronics,0.00,Yes,Checkout
SES00153,USR00153,"2025-10-18 15:32:56","2025-10-18 15:37:56",5,Tablet,West,"Social Media",Home,0.00,Yes,Browse
SES00154,USR00154,"2025-10-25 10:29:37","2025-10-25 10:37:37",8,Desktop,South,Email,Beauty,220.72,No,Purchase
SES00155,USR00155,"2025-10-04 11:00:44","2025-10-04 11:06:44",6,Mobile,East,Email,Sports,0.00,Yes,Checkout
SES00156,USR00156,"2025-10-11 10:49:08","2025-10-11 10:57:08",8,Tablet,West,Email,Electronics,0.00,Yes,Checkout
SES00157,USR00157,"2025-10-16 14:23:41","2025-10-16 14:25:41",2,Desktop,West,Organic,Beauty,0.00,Yes,Browse
SES00158,USR00158,"2025-10-08 17:42:56","2025-10-08 17:42:56",0,Tablet,East,"Social Media",Sports,0.00,Yes,Browse
SES00159,USR00159,"2025-10-16 21:40:06","2025-10-16 21:48:06",8,Tablet,South,Email,Fashion,0.00,Yes,Checkout
SES00160,USR00160,"2025-10-12 21:54:04","2025-10-12 21:58:04",4,Tablet,North,Organic,Electronics,0.00,Yes,Browse
SES00161,USR00161,"2025-10-09 05:23:56","2025-10-09 05:30:56",7,Tablet,North,Email,Sports,0.00,Yes,Checkout
SES00162,USR00162,"2025-10-01 22:59:54","2025-10-01 23:02:54",3,Mobile,East,"Google Ads",Fashion,0.00,Yes,Browse
SES00163,USR00163,"2025-10-20 23:50:02","2025-10-20 23:52:02",2,Tablet,West,"Google Ads",Sports,0.00,Yes,Browse
SES00164,USR00164,"2025-10-10 11:56:50","2025-10-10 12:01:50",5,Mobile,South,Email,Beauty,0.00,Yes,Checkout
SES00165,USR00165,"2025-10-27 05:34:47","2025-10-27 05:38:47",4,Tablet,East,Email,Sports,0.00,Yes,Checkout
SES00166,USR00166,"2025-10-04 13:05:10","2025-10-04 13:07:10",2,Desktop,South,"Social Media",Fashion,0.00,Yes,Browse
SES00167,USR00167,"2025-10-11 07:48:49","2025-10-11 07:48:49",0,Mobile,South,"Google Ads",Fashion,0.00,Yes,Browse
SES00168,USR00168,"2025-10-02 20:17:11","2025-10-02 20:19:11",2,Mobile,East,Email,Sports,0.00,Yes,Browse
SES00169,USR00169,"2025-10-24 11:04:34","2025-10-24 11:04:34",0,Tablet,North,"Google Ads",Sports,0.00,Yes,Browse
SES00170,USR00170,"2025-10-30 05:52:40","2025-10-30 05:52:40",0,Desktop,East,"Social Media",Sports,0.00,Yes,Browse
SES00171,USR00171,"2025-10-30 21:03:18","2025-10-30 21:05:18",2,Mobile,South,"Google Ads",Home,0.00,Yes,Browse
SES00172,USR00172,"2025-10-05 10:30:14","2025-10-05 10:32:14",2,Mobile,West,"Social Media",Sports,0.00,Yes,Browse
SES00173,USR00173,"2025-10-26 02:19:17","2025-10-26 02:29:17",10,Tablet,East,Organic,Home,1424.95,No,Purchase
SES00174,USR00174,"2025-10-15 13:07:06","2025-10-15 13:12:06",5,Desktop,East,"Social Media",Sports,0.00,Yes,Checkout
SES00175,USR00175,"2025-10-07 15:59:53","2025-10-07 15:59:53",0,Mobile,West,Organic,Sports,0.00,Yes,Browse
SES00176,USR00176,"2025-10-15 10:31:30","2025-10-15 10:35:30",4,Mobile,North,Organic,Beauty,0.00,Yes,Browse
SES00177,USR00177,"2025-10-21 19:32:34","2025-10-21 19:32:34",0,Mobile,East,"Social Media",Home,0.00,Yes,Browse
SES00178,USR00178,"2025-10-21 01:51:16","2025-10-21 01:53:16",2,Desktop,South,"Social Media",Sports,0.00,Yes,Browse
SES00179,USR00179,"2025-10-25 02:11:24","2025-10-25 02:11:24",0,Desktop,West,Organic,Electronics,0.00,Yes,Browse
SES00180,USR00180,"2025-10-27 01:34:18","2025-10-27 01:43:18",9,Desktop,South,"Social Media",Fashion,0.00,Yes,Checkout
SES00181,USR00181,"2025-10-19 12:22:10","2025-10-19 12:24:10",2,Mobile,North,Email,Home,0.00,Yes,Browse
SES00182,USR00182,"2025-10-18 06:23:10","2025-10-18 06:29:10",6,Mobile,West,"Google Ads",Home,0.00,Yes,Checkout
SES00183,USR00183,"2025-10-04 08:14:47","2025-10-04 08:14:47",0,Mobile,East,Organic,Electronics,0.00,Yes,Browse
SES00184,USR00184,"2025-10-23 21:53:01","2025-10-23 21:59:01",6,Mobile,West,Email,Beauty,0.00,Yes,Checkout
SES00185,USR00185,"2025-10-06 02:54:00","2025-10-06 02:54:00",0,Mobile,East,"Google Ads",Beauty,0.00,Yes,Browse
SES00186,USR00186,"2025-10-19 22:47:21","2025-10-19 22:47:21",0,Tablet,West,Organic,Electronics,0.00,Yes,Browse
SES00187,USR00187,"2025-10-17 19:24:48","2025-10-17 19:24:48",0,Mobile,East,"Google Ads",Beauty,0.00,Yes,Browse
SES00188,USR00188,"2025-10-22 00:20:03","2025-10-22 00:25:03",5,Mobile,North,Organic,Sports,0.00,Yes,Browse
SES00189,USR00189,"2025-10-07 10:08:51","2025-10-07 10:10:51",2,Desktop,East,Organic,Sports,0.00,Yes,Browse
SES00190,USR00190,"2025-10-25 01:20:11","2025-10-25 01:20:11",0,Desktop,North,Organic,Fashion,0.00,Yes,Browse
SES00191,USR00191,"2025-10-16 15:51:08","2025-10-16 16:05:08",14,Mobile,East,Email,Fashion,633.56,No,Purchase
SES00192,USR00192,"2025-10-15 05:55:38","2025-10-15 05:55:38",0,Desktop,North,Organic,Home,0.00,Yes,Browse
SES00193,USR00193,"2025-10-23 00:56:11","2025-10-23 01:00:11",4,Desktop,East,"Google Ads",Beauty,0.00,Yes,Browse
SES00194,USR00194,"2025-10-12 15:57:58","2025-10-12 16:01:58",4,Mobile,South,Email,Electronics,0.00,Yes,Browse
SES00195,USR00195,"2025-10-12 20:00:30","2025-10-12 20:03:30",3,Tablet,South,"Social Media",Home,0.00,Yes,Browse
SES00196,USR00196,"2025-10-08 03:22:51","2025-10-08 03:22:51",0,Tablet,West,Email,Beauty,0.00,Yes,Browse
SES00197,USR00197,"2025-10-14 10:19:08","2025-10-14 10:27:08",8,Desktop,East,"Google Ads",Fashion,1392.24,No,Purchase
SES00198,USR00198,"2025-10-30 13:49:15","2025-10-30 13:49:15",0,Desktop,South,"Google Ads",Fashion,0.00,Yes,Browse
SES00199,USR00199,"2025-10-06 08:23:38","2025-10-06 08:23:38",0,Tablet,North,Organic,Sports,0.00,Yes,Browse
SES00200,USR00200,"2025-10-30 08:21:24","2025-10-30 08:23:24",2,Tablet,West,"Social Media",Sports,0.00,Yes,Browse
SES00201,USR00201,"2025-10-02 09:45:56","2025-10-02 09:54:56",9,Tablet,South,"Google Ads",Sports,1143.07,No,Purchase
SES00202,USR00202,"2025-10-09 20:49:23","2025-10-09 20:53:23",4,Tablet,East,Email,Sports,0.00,Yes,Browse
SES00203,USR00203,"2025-10-05 10:41:23","2025-10-05 10:46:23",5,Tablet,North,"Google Ads",Sports,0.00,Yes,Browse
SES00204,USR00204,"2025-10-11 16:21:23","2025-10-11 16:28:23",7,Mobile,South,Email,Sports,0.00,Yes,Checkout
SES00205,USR00205,"2025-10-18 20:46:38","2025-10-18 20:55:38",9,Desktop,North,Organic,Sports,0.00,Yes,Checkout
